,offer_accepted,reward,mailer_type,income_level,bank_accounts_open,overdraft_protection,credit_rating,credit_cards_held,homes_owned,household_size,own_home,avg_balance,q1_balance,q2_balance,q3_balance,q4_balance
3562,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Four,No,1069,1867,1042,882,486
3563,No,Cash Back,Postcard,Low,One,No,High,Two,One,Four,No,1200,754,883,2052,1112
3564,No,Points,Letter,Medium,Two,No,Medium,Two,Two,Four,Yes,1719,1924,1702,1669,1581
3565,No,Points,Postcard,High,One,No,Medium,Two,One,Three,Yes,629,673,641,536,669
3566,Yes,Cash Back,Letter,Low,Two,Yes,Low,Three,One,Three,Yes,808,630,946,847,811
3567,No,Cash Back,Letter,Medium,One,No,Low,Two,One,Three,No,1062,353,488,1423,1985
3568,No,Cash Back,Letter,Low,One,No,Medium,Two,One,Three,Yes,870,1305,949,439,788
3569,No,Points,Letter,High,One,No,Medium,Three,One,Two,Yes,777,215,911,1243,741
3570,No,Air Miles,Letter,High,One,No,Low,Four,One,Two,No,1117,4,1006,2203,1256
3571,No,Air Miles,Letter,Medium,One,No,High,Two,One,Three,Yes,1142,1483,900,1386,799
3572,No,Points,Letter,Low,One,No,High,One,One,Three,No,725,510,750,727,916
3573,No,Cash Back,Postcard,Medium,Two,No,High,One,One,Four,No,1160,52,1614,1973,1001
3574,No,Points,Postcard,High,One,No,High,One,One,Three,Yes,864,968,908,782,799
3575,No,Air Miles,Letter,Medium,One,No,Low,Two,One,Five,No,1055,1566,1437,663,555
3576,No,Cash Back,Letter,Medium,Two,No,Low,One,One,Three,No,1152,64,1633,2001,910
3577,No,Points,Letter,Low,Two,No,Low,One,Two,Four,Yes,1140,540,1091,1974,955
3578,No,Air Miles,Postcard,Medium,One,No,High,One,One,Three,Yes,1091,1881,1472,556,455
3579,No,Air Miles,Letter,Medium,Two,No,Medium,Two,One,Five,No,635,570,902,519,550
3580,No,Points,Letter,Medium,Two,No,High,One,One,Two,No,379,428,290,349,452
3581,No,Points,Letter,High,Two,No,Low,Two,One,Two,Yes,932,79,951,1854,847
3582,No,Cash Back,Letter,Medium,One,No,High,Two,One,Four,Yes,738,842,513,663,937
3583,Yes,Points,Postcard,Low,One,No,High,Two,One,Three,Yes,1221,533,1555,2023,773
3584,No,Cash Back,Letter,Low,One,No,Medium,One,One,Five,Yes,212,496,93,36,226
3585,No,Air Miles,Letter,High,One,No,Medium,Three,One,Four,Yes,1037,1768,966,922,494
3586,No,Points,Postcard,High,One,No,High,Two,One,Two,No,803,957,805,867,584
3587,No,Cash Back,Letter,Low,One,No,Low,Three,Two,Four,No,1351,703,1561,1935,1205
3588,No,Air Miles,Letter,Low,One,No,Medium,Two,Two,Two,Yes,1049,691,734,1157,1615
3589,No,Cash Back,Letter,Low,One,No,High,One,One,Two,No,918,582,529,870,1691
3590,No,Points,Letter,Medium,One,No,Medium,One,One,Four,Yes,1002,1528,1261,992,230
3591,No,Cash Back,Postcard,Medium,One,No,Low,Two,Two,Three,No,966,186,1006,1685,987
3592,No,Cash Back,Letter,High,Two,No,Low,Two,Two,Four,Yes,1216,1674,1332,825,1035
3593,No,Air Miles,Letter,Medium,One,No,Medium,Three,Two,Four,No,398,480,297,333,485
3594,No,Points,Letter,Low,One,No,Medium,One,One,Three,Yes,244,373,176,29,399
3595,No,Points,Postcard,High,One,No,Low,Two,One,Four,Yes,742,549,876,996,549
3596,No,Cash Back,Letter,Low,One,Yes,High,Two,One,Four,Yes,929,395,1448,899,977
3597,No,Cash Back,Postcard,Medium,One,No,Low,One,Two,Five,No,731,518,846,821,740
3598,No,Air Miles,Letter,Medium,One,No,High,Two,One,Four,No,1000,1637,1351,848,164
3599,No,Points,Letter,Low,One,No,Low,Two,One,Five,Yes,207,368,225,155,83
3600,No,Air Miles,Letter,High,Two,No,Low,Two,Two,Four,Yes,119,107,141,7,222
3601,No,Cash Back,Postcard,Low,Two,No,Low,One,One,Three,Yes,974,1646,1306,917,28
3602,No,Points,Letter,Medium,Two,No,Low,One,Two,Three,No,890,392,1263,1269,636
3603,No,Air Miles,Postcard,Medium,Two,No,Low,One,One,Four,Yes,924,272,1637,875,912
3604,No,Cash Back,Letter,Low,One,No,Medium,One,Two,One,Yes,1122,626,1272,2115,477
3605,No,Air Miles,Letter,High,One,No,High,Two,Two,Four,No,1224,1843,1707,552,795
3606,No,Cash Back,Letter,High,One,No,Low,Three,One,Three,Yes,811,992,826,560,867
3607,No,Air Miles,Letter,High,One,No,Low,Three,One,Five,Yes,1273,636,1299,1513,1644
3608,No,Points,Postcard,Low,One,No,Medium,Two,One,Four,No,971,5,1770,1214,897
3609,No,Cash Back,Postcard,Medium,One,No,High,One,One,Four,No,933,1635,1162,753,184
3610,No,Cash Back,Postcard,High,One,No,Low,Three,One,Five,No,934,110,1432,1314,880
3611,Yes,Air Miles,Postcard,Medium,Two,No,Medium,Two,One,Two,Yes,1030,2034,863,896,327
3612,No,Air Miles,Letter,Medium,One,No,Low,Two,One,Five,Yes,1035,1940,1157,915,130
3613,No,Points,Postcard,Medium,One,No,High,One,One,Five,Yes,1326,1060,1767,1254,1223
3614,No,Points,Postcard,High,Two,No,High,Three,One,Five,Yes,705,819,576,859,568
3615,No,Cash Back,Letter,High,One,No,Low,Two,One,Five,Yes,794,915,642,978,643
3616,No,Cash Back,Postcard,Low,One,No,Medium,Two,Two,Three,Yes,1075,873,904,1252,1272
3617,No,Air Miles,Postcard,Low,One,No,Low,Two,One,Three,No,980,1693,1022,514,692
3618,No,Points,Postcard,High,One,No,High,Two,One,Three,Yes,642,638,512,876,543
3619,No,Points,Postcard,Low,One,No,Medium,One,One,Five,No,1459,907,1563,2086,1280
3620,No,Points,Postcard,High,Two,No,Low,Two,One,Three,Yes,268,176,500,227,172
3621,No,Cash Back,Postcard,Medium,Two,No,Medium,One,Two,Four,No,1214,1948,1422,999,489
3622,No,Air Miles,Letter,Low,One,No,Medium,Three,One,Two,No,892,101,667,1123,1679
3623,No,Cash Back,Letter,Medium,One,No,Medium,Two,One,Four,No,1450,690,1677,2125,1310
3624,No,Points,Postcard,Medium,One,No,Low,Two,One,Six,No,884,681,433,1791,631
3625,No,Points,Postcard,High,Two,No,High,Two,One,Five,Yes,1315,1342,561,1824,1534
3626,No,Cash Back,Letter,Medium,One,No,High,Three,One,Four,No,1395,1046,1055,1788,1691
3627,No,Cash Back,Postcard,Low,One,No,Medium,Three,One,One,No,241,318,336,65,246
3628,No,Cash Back,Postcard,Low,One,No,High,One,One,Four,No,993,749,1334,1400,489
3629,No,Air Miles,Postcard,Low,One,No,Medium,One,Two,Four,No,854,1340,1147,443,487
3630,No,Cash Back,Letter,Medium,Two,No,Medium,Two,One,Four,Yes,1200,783,1096,1397,1525
3631,No,Air Miles,Postcard,High,One,No,High,Three,One,Three,No,718,1320,890,409,254
3632,Yes,Points,Postcard,Low,One,No,Low,Three,One,One,Yes,649,21,475,1480,620
3633,No,Points,Postcard,Medium,Two,No,High,Two,One,Five,No,1143,507,1524,1922,620
3634,No,Air Miles,Postcard,Medium,Two,No,Low,Two,Two,Three,No,1230,686,1257,1665,1313
3635,No,Cash Back,Postcard,Medium,One,No,High,Two,One,Three,Yes,998,1982,921,517,572
3636,No,Points,Letter,Low,One,Yes,High,Two,One,Three,No,1140,1984,1425,662,491
3637,No,Air Miles,Postcard,Medium,One,Yes,Medium,One,Two,Three,No,1121,1712,1466,981,326
3638,No,Cash Back,Postcard,High,Three,No,Low,Two,One,Four,No,793,952,907,686,630
3639,No,Air Miles,Letter,Low,One,No,Medium,Two,One,Five,Yes,954,1947,1058,565,246
3640,No,Cash Back,Letter,Medium,One,No,High,Two,One,Six,Yes,686,530,678,604,932
3641,No,Air Miles,Postcard,Low,One,No,Medium,Two,Two,Two,Yes,734,703,801,803,631
3642,No,Points,Letter,High,One,No,Low,Three,One,Four,Yes,1658,1551,1810,1620,1652
3643,No,Air Miles,Postcard,Low,One,No,Low,Three,One,Five,No,425,464,427,327,482
3644,No,Air Miles,Letter,Medium,Two,No,High,Two,One,Three,Yes,309,116,428,447,247
3645,No,Cash Back,Letter,Medium,Two,No,High,Three,One,Five,Yes,739,565,659,899,833
3646,No,Points,Letter,Low,Two,No,High,Three,One,Two,Yes,811,670,908,838,828
3647,No,Cash Back,Letter,High,One,No,High,One,One,One,No,1704,1591,1712,1721,1793
3648,No,Points,Letter,Medium,One,No,High,Two,Two,Three,Yes,1442,880,1229,1490,2170
3649,No,Air Miles,Letter,Low,One,No,Medium,Four,One,Four,Yes,589,781,522,531,523
3650,No,Points,Letter,High,One,Yes,Low,One,One,Four,Yes,727,819,603,699,789
3651,No,Air Miles,Letter,Medium,One,No,Low,One,One,Two,No,847,1567,1175,537,112
3652,No,Points,Letter,Medium,One,Yes,High,Two,One,Four,Yes,1386,966,856,1698,2025
3653,No,Cash Back,Letter,High,One,No,Medium,One,One,Five,Yes,1035,280,1708,1125,1028
3654,No,Points,Postcard,Medium,One,No,Medium,One,One,Three,Yes,944,1263,1050,1212,251
3655,No,Cash Back,Postcard,Medium,One,Yes,Low,One,One,Three,No,1050,1609,1192,932,467
3656,No,Points,Postcard,Medium,One,No,Medium,Two,One,Five,Yes,1062,1776,1000,648,825
3657,No,Points,Letter,Low,One,Yes,Low,One,Two,Five,No,315,355,363,319,226
3658,No,Air Miles,Postcard,High,One,Yes,Medium,Two,One,Two,No,679,762,692,559,704
3659,No,Air Miles,Postcard,Medium,One,No,Low,One,One,Three,Yes,916,462,849,1624,730
3660,Yes,Points,Letter,Medium,One,No,Medium,Two,One,Three,Yes,984,407,1022,1333,1174
3661,No,Points,Postcard,Low,One,No,High,Two,Two,Four,No,824,513,943,917,926
3662,No,Points,Letter,High,One,No,Medium,Three,One,Four,No,1138,1467,403,1268,1415
3663,No,Cash Back,Letter,Low,One,No,Low,Two,Two,Four,No,1008,196,1467,1558,812
3664,No,Points,Letter,Medium,One,No,Medium,One,One,Four,Yes,847,506,588,1313,981
3665,Yes,Points,Letter,High,One,No,Low,Two,Two,Two,Yes,1763,1934,1664,1921,1533
3666,No,Points,Letter,Medium,One,No,High,One,One,Three,Yes,1088,870,548,1411,1524
3667,No,Cash Back,Postcard,Medium,One,No,Low,One,One,One,No,185,341,27,333,40
3668,No,Cash Back,Letter,Low,One,No,Low,Two,Two,Five,Yes,1106,180,1747,1779,721
3669,Yes,Points,Postcard,Medium,One,No,Medium,Two,One,Two,Yes,158,57,115,232,230
3670,No,Points,Letter,Medium,One,No,High,Two,One,Four,No,962,1833,1389,605,24
3671,No,Air Miles,Letter,Low,Two,No,Medium,Two,One,Two,Yes,1107,260,1326,978,1865
3672,No,Cash Back,Letter,Medium,Two,No,Low,Three,One,Four,Yes,873,1930,870,540,152
3673,No,Points,Postcard,Low,One,Yes,High,Two,Two,Three,Yes,1066,402,777,1490,1598
3674,No,Points,Postcard,High,One,No,Low,One,One,Two,Yes,888,624,845,846,1239
3675,No,Cash Back,Postcard,Medium,One,No,Low,One,One,Four,Yes,907,1684,1300,425,222
3676,No,Points,Letter,Medium,Two,No,Medium,One,One,Six,Yes,1087,730,1367,1364,887
3677,No,Points,Postcard,Medium,One,No,Low,One,Two,Four,Yes,275,179,268,219,434
3678,No,Points,Letter,Medium,One,No,Low,One,One,Two,No,1730,1639,1799,1646,1838
3679,No,Cash Back,Postcard,Medium,One,Yes,High,Two,One,Three,Yes,915,100,1788,1249,526
3680,No,Cash Back,Postcard,High,One,Yes,Low,Two,One,Three,Yes,1056,1614,1434,691,487
3681,No,Cash Back,Letter,Medium,Two,No,Low,One,One,Four,Yes,884,223,889,1288,1136
3682,No,Air Miles,Letter,Medium,One,No,High,Two,One,Two,Yes,1119,150,742,1731,1854
3683,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Four,Yes,1256,807,893,1411,1916
3684,No,Cash Back,Postcard,High,One,No,Low,Two,One,Three,Yes,232,158,236,100,436
3685,Yes,Points,Postcard,Medium,Two,No,Medium,Two,One,Four,Yes,1040,1718,1166,852,424
3686,No,Air Miles,Postcard,High,Two,Yes,High,One,One,Two,No,1042,1904,1052,871,342
3687,Yes,Points,Postcard,Low,One,No,Medium,One,One,Three,Yes,951,1578,1483,524,222
3688,No,Cash Back,Letter,Medium,One,No,Medium,One,One,Five,Yes,1324,893,1750,2092,563
3689,No,Points,Postcard,High,Two,No,High,Two,One,Three,Yes,1001,1499,449,1460,596
3690,No,Points,Letter,High,One,No,High,Three,Two,Two,No,724,555,927,506,909
3691,No,Points,Postcard,Medium,Two,No,Low,Two,One,Six,No,1152,527,1186,1170,1728
3692,No,Cash Back,Postcard,Medium,Two,Yes,Low,Four,One,Three,No,983,1582,1372,966,15
3693,No,Points,Postcard,Low,One,No,Low,Two,Two,Five,No,1027,467,1361,1268,1014
3694,No,Cash Back,Postcard,High,One,No,Low,Two,One,Four,Yes,1167,234,574,1728,2134
3695,No,Air Miles,Postcard,High,One,No,High,Two,Two,Three,Yes,655,536,773,727,585
3696,No,Air Miles,Letter,Medium,One,No,High,Two,One,Two,Yes,769,991,661,807,619
3697,No,Cash Back,Letter,High,One,No,Low,Two,One,Four,Yes,1190,695,1115,1336,1617
3698,No,Points,Postcard,Low,Two,No,High,One,Two,Four,Yes,740,758,575,922,707
3699,No,Cash Back,Letter,Medium,Two,Yes,Low,One,One,Three,No,1125,1789,1392,424,895
3700,No,Air Miles,Postcard,High,One,No,Medium,Two,One,Two,Yes,361,353,488,207,399
3701,Yes,Points,Postcard,Medium,One,No,Low,One,One,Four,No,1098,863,1319,1589,624
3702,No,Cash Back,Letter,High,One,No,Medium,Three,One,Five,Yes,1018,431,636,1587,1420
3703,Yes,Air Miles,Postcard,Medium,One,No,Low,One,One,Four,Yes,1289,687,1149,1452,1868
3704,No,Cash Back,Letter,Low,One,No,Low,One,One,Three,Yes,1566,1158,1811,1986,1310
3705,No,Air Miles,Postcard,Low,Two,No,Low,One,One,Three,No,1773,1897,1949,1549,1698
3706,No,Cash Back,Letter,Low,One,No,Medium,Two,One,Two,No,1069,178,1264,840,1997
3707,No,Points,Postcard,Medium,One,No,Low,One,One,Four,Yes,179,30,222,340,125
3708,No,Air Miles,Letter,Medium,One,No,High,One,One,Two,Yes,1079,1509,1497,875,435
3709,No,Air Miles,Postcard,Medium,One,No,Low,One,One,Three,Yes,1042,1494,1267,1082,325
3710,No,Points,Postcard,Medium,One,No,High,One,One,Five,Yes,966,1532,1474,683,175
3711,No,Air Miles,Letter,High,Two,No,Medium,One,Two,Four,No,1072,809,765,1165,1549
3712,No,Points,Letter,Medium,Two,No,Medium,Two,One,Three,Yes,746,636,671,814,863
3713,No,Cash Back,Letter,Medium,One,Yes,Low,Three,Two,Six,Yes,1196,1240,1435,876,1234
3714,No,Points,Postcard,Medium,One,No,High,Three,One,Three,Yes,1098,1792,1426,942,234
3715,No,Air Miles,Postcard,Low,Two,No,Low,One,One,Four,Yes,776,627,832,804,844
3716,No,Cash Back,Letter,Medium,One,No,Low,One,One,Three,Yes,1040,1736,1038,960,428
3717,No,Cash Back,Postcard,Low,One,No,Medium,Two,One,Four,Yes,1097,701,722,1390,1576
3718,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Two,Yes,1324,861,974,1438,2024
3719,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,One,No,209,244,120,270,205
3720,No,Cash Back,Postcard,Medium,One,No,High,Three,One,Four,Yes,1069,2026,841,1348,62
3721,No,Air Miles,Postcard,Medium,Two,No,High,One,One,One,Yes,330,240,311,293,479
3722,No,Cash Back,Postcard,High,One,No,High,Two,One,Two,Yes,262,151,211,316,370
3723,No,Cash Back,Letter,Low,One,Yes,Medium,One,One,Four,No,1124,1724,1256,829,690
3724,No,Air Miles,Letter,High,Two,No,Medium,Two,One,Four,No,205,92,232,339,157
3725,Yes,Air Miles,Postcard,Low,One,No,Low,Four,One,Three,Yes,1247,2109,1110,992,777
3726,No,Cash Back,Postcard,Medium,One,No,Low,Four,Two,Five,No,252,299,104,124,483
3727,No,Points,Postcard,Medium,One,Yes,High,One,One,Two,No,1146,833,500,1534,1718
3728,No,Cash Back,Postcard,Low,One,No,High,Three,Two,Three,Yes,1160,646,1167,1467,1363
3729,No,Air Miles,Postcard,Medium,One,No,Low,One,One,Four,Yes,1013,1102,462,1951,538
3730,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Four,Yes,1255,796,1712,1689,823
3731,No,Air Miles,Letter,Medium,One,No,Medium,Four,One,Three,No,669,699,617,700,660
3732,No,Cash Back,Letter,Low,One,No,Low,Three,One,Two,No,754,761,684,861,713
3733,No,Points,Letter,Low,One,Yes,Medium,One,One,One,No,259,290,284,377,86
3734,No,Points,Postcard,Medium,One,No,High,One,One,Four,No,1308,192,1601,1809,1632
3735,No,Points,Postcard,Low,Two,Yes,Medium,Two,One,Four,Yes,1401,908,1390,1520,1787
3736,No,Points,Postcard,Low,One,No,High,One,One,Five,Yes,1313,1014,1060,1290,1888
3737,No,Points,Postcard,Medium,One,No,Medium,One,One,Three,No,974,1697,1154,745,302
3738,No,Air Miles,Letter,Low,One,No,Low,One,One,Three,Yes,240,223,193,400,144
3739,Yes,Air Miles,Letter,High,One,No,Low,Two,One,Four,Yes,1295,352,1060,2119,1651
3740,No,Cash Back,Postcard,Low,One,No,High,One,One,One,No,1128,1758,1186,945,624
3741,No,Air Miles,Letter,Medium,One,No,Medium,Three,One,Six,Yes,1203,693,712,1769,1641
3742,No,Air Miles,Letter,Medium,One,No,Medium,Three,Two,Four,Yes,925,1327,1231,549,595
3743,No,Air Miles,Letter,Medium,One,No,Low,Two,One,Three,No,1092,627,1375,884,1485
3744,No,Cash Back,Letter,High,One,No,Medium,Two,Two,Five,Yes,1013,1967,1323,548,216
3745,No,Points,Postcard,High,One,No,High,One,Two,Three,No,1139,837,1152,1436,1133
3746,No,Cash Back,Postcard,Medium,One,No,Low,Two,Three,Two,Yes,805,1505,1070,602,46
3747,No,Points,Postcard,High,One,Yes,High,One,Two,Four,Yes,289,290,403,163,301
3748,No,Cash Back,Postcard,Medium,One,No,Low,One,One,Two,Yes,734,614,761,600,961
3749,No,Air Miles,Postcard,Medium,One,No,Low,Two,One,Three,Yes,883,986,919,928,699
3750,No,Air Miles,Letter,Low,One,No,Medium,Two,One,Three,Yes,794,971,707,959,542
3751,No,Points,Postcard,High,Two,No,Low,Two,One,Three,Yes,960,1693,1477,589,83
3752,Yes,Air Miles,Postcard,Low,One,No,Medium,One,One,Three,Yes,1366,378,1744,2017,1325
3753,No,Cash Back,Postcard,Medium,Two,No,Medium,Two,One,Six,Yes,900,1538,1290,604,168
3754,No,Air Miles,Letter,Low,One,No,High,Two,Two,Three,Yes,963,1834,1229,687,102
3755,No,Cash Back,Letter,Medium,Two,No,High,One,One,Four,Yes,1064,1780,1156,861,462
3756,No,Air Miles,Letter,High,One,No,Low,One,One,Four,No,1355,1018,973,1893,1537
3757,No,Points,Postcard,High,One,No,Medium,Two,Two,Five,No,941,482,560,1081,1644
3758,No,Air Miles,Letter,Low,One,No,Medium,Two,Two,Four,No,918,112,784,1316,1462
3759,No,Air Miles,Postcard,Low,Two,No,High,Two,One,Three,No,956,1636,1118,630,442
3760,No,Air Miles,Letter,High,Two,No,High,One,One,Five,No,1182,737,959,1991,1044
3761,No,Cash Back,Postcard,Medium,One,No,Low,Three,One,Five,Yes,1170,1226,505,1332,1620
3762,No,Air Miles,Letter,Medium,One,No,Low,One,One,Three,No,152,84,82,320,123
3763,No,Cash Back,Letter,High,One,No,High,One,Two,Three,Yes,887,210,801,835,1705
3764,No,Cash Back,Letter,Medium,Two,No,Medium,Two,One,Three,No,941,1593,1184,878,112
3765,No,Points,Letter,Low,Two,Yes,High,One,One,Three,Yes,1042,1375,1056,806,934
3766,No,Points,Postcard,Medium,One,No,Medium,One,Two,Four,Yes,1038,1825,1329,914,86
3767,No,Points,Letter,Medium,Two,Yes,High,Two,Two,Three,No,327,406,372,305,227
3768,No,Cash Back,Letter,High,One,No,Low,Three,One,Four,No,1147,275,444,2008,1863
3769,No,Points,Letter,Medium,One,Yes,Medium,Three,One,Four,No,274,13,343,392,349
3770,Yes,Air Miles,Postcard,High,One,No,Medium,Two,One,Five,Yes,1129,227,609,2197,1486
3771,No,Points,Letter,Medium,One,No,Medium,Two,One,Three,Yes,708,825,655,707,647
3772,No,Points,Letter,Medium,One,No,Medium,Two,One,Five,Yes,871,1796,1064,517,110
3773,Yes,Points,Postcard,Medium,One,No,High,Three,One,Three,No,946,1651,1382,544,208
3774,No,Air Miles,Letter,Medium,Two,No,Medium,Two,One,One,Yes,884,51,524,1295,1668
3775,No,Air Miles,Letter,High,Two,No,High,Two,Two,Four,No,1108,795,1051,1914,675
3776,Yes,Points,Postcard,Medium,Two,No,Medium,One,One,Three,Yes,1000,2074,820,546,562
3777,No,Points,Letter,Low,One,No,Medium,One,One,Three,Yes,954,615,1057,901,1244
3778,No,Points,Letter,High,Two,No,High,One,One,Four,No,1272,820,847,2165,1256
3779,No,Air Miles,Postcard,Low,One,No,High,Two,One,Three,No,901,928,908,893,876
3780,No,Air Miles,Postcard,High,One,No,Low,Three,One,One,No,1157,1199,1104,979,1346
3781,No,Points,Letter,Medium,One,No,High,Three,One,Four,No,1058,1882,1282,809,262
3782,No,Cash Back,Postcard,Medium,One,No,Medium,One,One,Two,Yes,1195,1559,1431,1010,780
3783,No,Cash Back,Letter,Medium,One,No,Low,One,One,Four,Yes,1218,2104,1615,756,398
3784,No,Air Miles,Postcard,Medium,One,No,Low,Three,Two,Four,Yes,907,1644,1024,746,215
3785,No,Cash Back,Postcard,Medium,Three,No,Low,One,One,Six,No,697,709,895,683,502
3786,No,Points,Postcard,High,One,No,High,Two,One,Three,No,1251,816,1035,2080,1074
3787,No,Cash Back,Postcard,Medium,Two,No,Low,Two,One,Four,No,709,677,783,647,729
3789,No,Cash Back,Letter,Medium,One,No,Medium,Two,Two,Four,Yes,887,525,804,1582,639
3790,No,Air Miles,Letter,Low,One,Yes,Medium,One,One,Five,Yes,970,153,1141,1901,686
3791,No,Points,Postcard,Medium,One,No,Medium,One,One,Three,Yes,1008,1971,1359,670,34
3792,No,Cash Back,Postcard,Medium,One,Yes,Medium,Two,One,Four,No,689,699,551,713,795
3793,No,Air Miles,Letter,Low,One,Yes,Medium,Two,One,Five,Yes,1098,2096,1565,630,101
3794,No,Points,Postcard,Medium,One,No,Low,Three,One,Four,Yes,1318,807,994,1799,1674
3795,No,Air Miles,Postcard,Medium,Three,No,Medium,One,One,Three,Yes,773,861,819,900,514
3796,No,Cash Back,Letter,High,One,No,Medium,Two,One,Four,Yes,1088,292,1554,1674,835
3797,No,Points,Letter,Medium,One,No,Medium,Three,One,Three,No,611,622,722,511,589
3798,No,Cash Back,Postcard,Low,Two,No,Low,One,One,Three,Yes,1320,999,594,1727,1960
3799,No,Points,Letter,High,Two,No,Medium,Three,Two,Five,Yes,1318,1810,1429,1266,768
3800,No,Points,Letter,High,One,No,High,Two,One,Three,Yes,1065,1430,1678,942,212
3801,No,Points,Letter,Medium,One,No,Low,Three,One,Two,Yes,836,346,989,1472,539
3802,No,Air Miles,Letter,Low,One,No,Medium,Two,One,Four,Yes,1109,1884,1423,695,436
3803,No,Cash Back,Letter,Medium,Two,No,Low,Three,One,Four,Yes,1011,860,970,1092,1125
3804,No,Air Miles,Letter,Medium,One,No,Low,Three,One,Five,Yes,896,1799,1199,556,33
3805,No,Air Miles,Letter,Low,One,No,Low,One,One,Four,Yes,966,1637,1119,622,486
3806,No,Points,Postcard,Medium,One,No,Medium,Two,One,Six,Yes,762,653,865,869,661
3807,No,Points,Letter,High,One,No,High,Two,One,Five,Yes,218,140,271,176,286
3808,No,Air Miles,Postcard,Medium,One,Yes,Medium,One,One,Two,No,1103,427,1890,1333,765
3809,No,Air Miles,Letter,Medium,Two,No,Low,One,Two,Three,No,846,672,818,979,918
3810,No,Air Miles,Letter,Medium,Three,No,Medium,One,One,Two,No,165,293,147,172,50
3811,No,Cash Back,Postcard,Medium,One,No,High,Two,One,Four,Yes,990,127,882,1945,1008
3812,No,Air Miles,Postcard,Medium,One,Yes,Medium,Four,One,Six,Yes,1201,2055,1533,690,529
3813,No,Cash Back,Letter,Medium,One,No,Medium,Three,One,Four,No,762,1325,1205,470,51
3814,Yes,Points,Letter,High,Two,No,Low,One,One,Two,No,231,115,372,174,266
3815,No,Cash Back,Postcard,Medium,Two,No,High,One,One,Three,Yes,789,758,855,734,809
3816,No,Points,Letter,Low,One,No,High,Three,One,Three,Yes,236,389,95,244,216
3817,No,Air Miles,Postcard,Low,One,No,Low,Two,One,Five,Yes,1203,423,1757,1535,1098
3818,No,Points,Postcard,Medium,One,No,Medium,One,One,Five,No,1235,73,1287,1650,1931
3819,No,Points,Letter,High,One,No,High,Two,One,Four,No,1059,1828,1305,788,317
3820,No,Points,Postcard,Medium,One,No,Low,One,Two,Four,Yes,715,511,563,962,826
3821,Yes,Cash Back,Postcard,Medium,One,No,Low,Three,One,Four,No,123,86,95,98,215
3822,No,Points,Postcard,Medium,Two,No,High,Three,One,Three,No,340,291,161,485,426
3823,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,One,No,1230,780,1308,1412,1423
3824,No,Points,Letter,Medium,Two,No,Medium,One,One,Four,No,850,1666,1106,566,64
3825,No,Air Miles,Postcard,Medium,One,No,High,Two,One,Two,Yes,178,250,194,28,242
3826,No,Points,Letter,Medium,One,No,Medium,Three,One,Two,No,1166,920,1074,1657,1013
3827,No,Cash Back,Postcard,Medium,One,No,High,Two,One,Four,No,1001,1629,1323,964,90
3828,No,Air Miles,Letter,High,One,No,Low,Three,One,Four,Yes,1249,269,1293,2217,1218
3829,No,Points,Letter,Medium,One,No,Low,Two,One,Five,No,830,885,917,727,794
3830,Yes,Air Miles,Postcard,Low,Two,No,Medium,Two,Two,Five,No,234,62,370,414,93
3831,No,Air Miles,Letter,Medium,Three,No,Medium,One,One,Three,Yes,282,89,390,300,351
3832,No,Points,Letter,Medium,One,Yes,Low,One,One,Two,Yes,1001,2018,1255,438,293
3833,No,Points,Letter,Medium,Two,No,Low,One,One,Four,No,1018,1405,994,769,906
3834,No,Points,Letter,Medium,One,No,Low,Two,One,Three,Yes,880,1371,421,901,828
3835,No,Cash Back,Letter,Medium,One,No,Medium,Two,One,Four,Yes,1266,748,839,2124,1356
3836,No,Cash Back,Letter,High,One,No,High,One,One,Three,Yes,1012,2021,978,572,478
3837,No,Points,Postcard,Low,One,No,Low,One,One,Five,No,1018,1821,1289,943,22
3838,No,Cash Back,Postcard,Medium,One,No,Low,Two,One,Four,No,835,672,952,924,793
3839,No,Cash Back,Postcard,Medium,One,No,Low,One,One,Two,Yes,897,1612,1273,550,156
3840,No,Points,Letter,Medium,One,Yes,Low,Three,One,Five,Yes,1121,541,1131,1975,840
3841,No,Points,Letter,Low,Two,Yes,Medium,One,One,Five,Yes,1204,583,1649,1988,599
3842,No,Cash Back,Letter,Medium,One,Yes,Low,One,One,Four,Yes,960,219,569,1649,1403
3843,No,Air Miles,Postcard,Medium,One,No,High,Two,One,Five,No,957,174,1071,1040,1545
3844,No,Cash Back,Letter,High,One,No,High,Two,One,Three,No,840,1522,1085,603,153
3845,No,Cash Back,Postcard,High,Two,No,Medium,Two,One,Two,Yes,1135,836,1655,1316,735
3846,No,Points,Letter,Low,One,No,High,Two,One,Three,Yes,939,309,947,1419,1084
3847,No,Points,Postcard,Medium,Two,No,Low,Two,One,Three,No,1220,1890,1471,1041,480
3848,No,Points,Postcard,Medium,One,No,High,One,One,Four,No,1014,1324,1617,1009,106
3849,No,Points,Postcard,Medium,One,No,Low,Two,Two,Two,No,1206,345,1127,1782,1570
